City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Maroantsetra,MG,77.56,scattered clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
340,Kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
344,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
349,Morant Bay,JM,74.82,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
350,Antonina,BR,78.62,overcast clouds,-25.4286,-48.7119,Hotel Capelista
353,Nazca,PE,70.36,overcast clouds,-14.8333,-74.95,Casa Andina Standard Nasca
360,Sur,OM,72.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
362,Sunyani,GH,65.75,overcast clouds,7.3399,-2.3268,Nass Lodge
365,Tuatapere,NZ,73.81,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
368,Dwarka,IN,72.77,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
369,Bosaso,SO,73.11,overcast clouds,11.2842,49.1816,Red Sea Hotel
372,Tonantins,BR,73.11,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
376,Samana,DO,72.34,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
377,Marawi,PH,74.64,overcast clouds,7.9986,124.2928,Derogongan Residence
378,Alofi,NU,74.16,moderate rain,-19.0595,-169.9187,Taloa Heights
379,Praya,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
385,Chauk,MM,72.25,clear sky,20.8833,94.8167,Bo Khin Guest House
395,Vangaindrano,MG,74.21,clear sky,-23.35,47.6,Hotel Fanilo
396,Muscat,OM,72.43,clear sky,23.6139,58.5922,Mutrah Hotel
412,Venado Tuerto,AR,69.76,broken clouds,-33.7456,-61.9688,La Bianca.
413,Sarh,TD,67.26,clear sky,9.1429,18.3923,Domicile 1sur le goudron
417,Bataipora,BR,71.49,few clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
418,French Harbor,HN,72.0,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
419,Axim,GH,76.06,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
425,Cienaga,CO,79.99,scattered clouds,11.007,-74.2476,The Journey Hostel
431,Sao Joao Da Barra,BR,74.57,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
433,Alice Springs,AU,76.55,shower rain,-23.7,133.8833,Desert Palms Alice Springs
434,Richards Bay,ZA,71.11,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
436,Bela Vista,BR,76.17,few clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
437,Mabaruma,GY,70.75,broken clouds,8.2,-59.7833,Monty Brooms Guest House
440,Obregon,NI,75.29,clear sky,11.9566,-85.9636,Hostal Casa Aryen
442,Mecca,SA,66.33,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
444,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
449,Alta Gracia,AR,68.72,clear sky,-31.6529,-64.4283,Hotel Ritz
450,Sao Filipe,CV,71.28,overcast clouds,14.8961,-24.4956,Hotel Xaguate
463,Pombas,CV,67.78,overcast clouds,17.1503,-25.0201,Paul Paradis
464,Sungaipenuh,ID,76.15,overcast clouds,-2.0833,101.3833,penginapan citra alam
485,Plettenberg Bay,ZA,67.91,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
491,Waipawa,NZ,66.31,few clouds,-41.4122,175.5153,Tora Coastal Walk
493,Alta Floresta,BR,69.76,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
496,Hobyo,SO,76.55,light rain,5.3505,48.5268,Halane Hotel and Restaurent
497,Srivardhan,IN,76.35,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
504,Port Victoria,KE,70.12,light rain,0.0939,33.9756,Homepark motel
508,Porto Novo,BJ,73.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
511,Macapa,BR,75.18,clear sky,0.0389,-51.0664,Atalanta Hotel
512,De Aar,ZA,69.37,overcast clouds,-30.6497,24.0123,Nyibiba Guesthouse
520,Quang Ngai,VN,78.01,overcast clouds,15.1167,108.8,Central Hotel
521,Soyo,AO,78.08,light rain,-6.1349,12.3689,Hotel Mpampa
525,Maracacume,BR,72.3,overcast clouds,-2.0428,-45.9592,Hotel Ramos
526,Juba,SS,72.01,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
539,Amparafaravola,MG,66.22,few clouds,-17.5833,48.2167,Aina Franco
541,Nyimba,ZM,66.34,light rain,-14.5566,30.8149,Dali Dali Lodge
542,Gulu,UG,70.03,broken clouds,2.7746,32.299,ACHOLI INN
548,Guanare,VE,75.22,clear sky,9.0418,-69.7421,Nuevo Hotel Coromoto
552,San Rafael,AR,73.38,clear sky,-34.6177,-68.3301,Hotel San Rafael
554,Nouakchott,MR,69.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
555,Puerto Baquerizo Moreno,EC,74.25,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
558,Cuamba,MZ,66.72,few clouds,-14.8031,36.5372,Hotel Vision
559,Nagod,IN,67.21,clear sky,24.5667,80.6,Chipahti Masjid
560,Taitung,TW,68.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
562,Timbiqui,CO,72.09,light rain,2.7717,-77.6654,hotel diana
568,Omboue,GA,77.5,light rain,-1.5746,9.2618,Hotel Olako
580,Maldonado,UY,72.23,clear sky,-34.6667,-54.9167,La Cimarrona
585,Mityana,UG,69.39,overcast clouds,0.4175,32.0228,Green Valley Hotel
587,Kontagora,NG,68.92,broken clouds,10.3999,5.4695,Queens Guest Inn
589,San Vicente,AR,65.14,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
592,Kabanjahe,ID,72.36,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
595,Livramento,BR,75.88,light rain,-3.0254,-60.1803,Refúgio Samauma
